,video_id,window_size,step_size,vector_method,clustering_params,vectorizing_params,similarity_method,is_min_thresh,sim_thresh,sim_filter,accurrcy_shift,n_clusters
0,2mC1uqwEmWQ,,,,,,,,,,,15
1,8BeXwhljq2g,,,,,,,,,,,9
2,B-Xe7_mf2CY,,,,,,,,,,,18
3,BiLJmhQMbVg,,,,,,,,,,,20
4,dkAr9ThdSUU,,,,,,,,,,,17
5,ksh6OMRFroI,,,,,,,,,,,12
6,MkiUBJcgdUY,,,,,,,,,,,18
7,Q-HugPvA7GQ,,,,,,,,,,,14
8,SCvtxjpVQms,,,,,,,,,,,13
9,x5zLaWT5KPs,,,,,,,,,,,14
10,zT83sJ5IrEE,,,,,,,,,,,13
11,zWg7U0OEAoE,,,,,,,,,,,13
