num,start_time,end_time
1,14200,22700
2,39200,41100
3,86900,88700
4,287300,289100
5,321200,322900
6,357700,359700
7,361600,364600
8,375100,377500
9,406800,408700
10,551300,554400
11,555400,560400
12,643800,645900
13,784100,785900
14,816000,818500
15,850800,855400
16,855700,859500
17,927600,930400
18,960600,964700
19,971300,973000
20,973100,975500
21,1085500,1087200
22,1099600,1101400
23,1106000,1108200
24,1130300,1133500
25,1158200,1160400
26,1171200,1173500
27,1176900,1178700
28,1275000,1277600
29,1340400,1342500
30,1478700,1481300
31,1565600,1567400
32,1656500,1658600
33,1673600,1675600
34,1742400,1744400
35,1811800,1813500
36,1863300,1865600
37,1876100,1877800
38,1890500,1892600
39,1927900,1930400
40,1973400,1978100
41,1987200,1990100
42,2028600,2030600
43,2046300,2050600
44,2088500,2090300
45,2118800,2121100
46,2121700,2125800
47,2126200,2127900
48,2128200,2130000
49,2131900,2141800
50,2172300,2175400
51,2283800,2288800
52,2294000,2297500
53,2299000,2301200
54,2438600,2441100
55,2459100,2462500
56,2517200,2518900
57,2544300,2546200
58,2550900,2552700
59,2705400,2709700
60,2850900,2854400
61,2923700,2929100
62,3004000,3005800
63,3045600,3048000
64,3162900,3164800
65,3470600,3472600
66,3564700,3568100
67,3711500,3713200
68,3789400,3797500
69,3805900,3809800
