num,start_time,end_time
1,14000,23500
2,23600,29600
3,38500,41200
4,86200,88700
5,117400,119100
6,249000,250700
7,287300,289100
8,321100,322900
9,339700,341400
10,357600,359800
11,361500,364600
12,366100,367800
13,375000,377600
14,387700,389400
15,406800,408700
16,551200,554400
17,555400,560500
18,562400,564100
19,643800,645900
20,783100,785900
21,815900,818500
22,841900,843600
23,850700,855500
24,855700,859500
25,927600,930400
26,960400,965400
27,971000,975500
28,1085500,1087300
29,1099500,1101500
30,1105900,1108200
31,1130300,1133600
32,1158200,1160500
33,1164800,1166500
34,1171200,1173700
35,1176900,1178700
36,1220200,1222000
37,1229200,1231400
38,1273000,1274800
39,1274900,1277900
40,1279700,1281800
41,1286800,1289000
42,1340300,1342600
43,1365900,1367700
44,1426900,1428800
45,1478000,1481400
46,1509100,1510900
47,1565500,1567400
48,1612000,1613800
49,1614000,1615900
50,1637100,1639000
51,1656400,1658600
52,1669500,1671200
53,1671700,1675600
54,1725000,1727200
55,1742400,1744400
56,1786900,1788700
57,1811700,1813600
58,1862100,1865700
59,1875800,1877900
60,1890500,1892700
61,1916200,1918100
62,1927800,1930400
63,1964100,1965800
64,1973200,1978200
65,1987000,1990300
66,2028500,2030600
67,2046200,2050600
68,2068200,2070200
69,2088500,2091100
70,2103400,2105200
71,2118700,2121100
72,2121600,2126000
73,2126200,2127900
74,2128100,2130000
75,2131800,2141800
76,2172300,2175400
77,2208400,2210100
78,2283700,2288900
79,2293800,2297800
80,2299000,2301200
81,2394300,2396100
82,2436300,2438000
83,2438500,2441100
84,2459000,2462600
85,2495000,2496700
86,2517200,2518900
87,2544200,2546200
88,2550900,2552800
89,2705400,2709700
90,2783900,2785700
91,2823600,2825300
92,2850900,2854400
93,2862300,2864100
94,2923600,2929200
95,3003800,3005800
96,3042800,3045200
97,3045600,3048100
98,3089200,3091800
99,3138400,3141800
100,3162600,3164900
101,3207400,3209100
102,3262600,3264300
103,3470500,3472600
104,3518000,3520000
105,3540800,3542900
106,3551500,3553200
107,3556200,3557900
108,3563100,3568200
109,3648000,3649900
110,3711300,3713200
111,3768400,3770400
112,3777100,3781100
113,3786900,3788900
114,3789000,3797700
115,3805400,3809800
