,video_id,window_size,step_size,vector_method,similarity_method,is_min_thresh,algorithm,n_clusters,sim_thresh,sim_filter,accurrcy_shift
58,MkiUBJcgdUY,120,20,tfidf,cosine,TRUE,spectral_clustering,17,0.4,"['median',(3,3)]",15
59,MkiUBJcgdUY,120,20,tfidf,cosine,TRUE,spectral_clustering,17,0.4,,15
60,MkiUBJcgdUY,200,50,tfidf,cosine,TRUE,spectral_clustering,17,0.4,"['median',(3,3)]",15
61,MkiUBJcgdUY,200,50,tfidf,cosine,TRUE,spectral_clustering,17,0.4,,15
62,MkiUBJcgdUY,20,10,tfidf,cosine,TRUE,spectral_clustering,17,0.4,"['median',(3,3)]",15
63,MkiUBJcgdUY,20,10,tfidf,cosine,TRUE,spectral_clustering,17,0.4,,15
64,MkiUBJcgdUY,200,20,tf,cosine,TRUE,spectral_clustering,17,0.4,"['median',(2,2)]",15
65,MkiUBJcgdUY,200,20,tf,cosine,TRUE,spectral_clustering,17,0.4,,15
66,MkiUBJcgdUY,20,10,tf,cosine,TRUE,spectral_clustering,17,0.4,"['median',(2,2)]",15
67,MkiUBJcgdUY,20,10,tf,cosine,TRUE,spectral_clustering,17,0.4,,15
68,MkiUBJcgdUY,200,180,tf,cosine,TRUE,spectral_clustering,17,0.4,"['median',(3,3)]",15
69,MkiUBJcgdUY,200,180,tf,cosine,TRUE,spectral_clustering,17,0.4,,15
70,MkiUBJcgdUY,20,20,tf,cosine,TRUE,spectral_clustering,17,0.4,"['median',(3,3)]",15
71,MkiUBJcgdUY,20,20,tf,cosine,TRUE,spectral_clustering,17,0.4,,15
72,MkiUBJcgdUY,40,20,tf,cosine,TRUE,spectral_clustering,17,0.4,"['median',(3,3)]",15
73,MkiUBJcgdUY,40,20,tf,cosine,TRUE,spectral_clustering,17,0.4,,15
74,MkiUBJcgdUY,120,20,tf,cosine,TRUE,spectral_clustering,17,0.4,"['median',(3,3)]",15
75,MkiUBJcgdUY,120,20,tf,cosine,TRUE,spectral_clustering,17,0.4,,15
76,MkiUBJcgdUY,200,50,tf,cosine,TRUE,spectral_clustering,17,0.4,"['median',(3,3)]",15
77,MkiUBJcgdUY,200,50,tf,cosine,TRUE,spectral_clustering,17,0.4,,15
78,MkiUBJcgdUY,20,10,tf,cosine,TRUE,spectral_clustering,17,0.4,"['median',(3,3)]",15
79,MkiUBJcgdUY,20,10,tf,cosine,TRUE,spectral_clustering,17,0.4,,15
